1016,18382,41,1455546370173,1455546370947,723
1016,18354,13,1455546370171,1455546370967,777
1016,18390,49,1455546370174,1455546371020,797
1016,18379,38,1455546370173,1455546371092,862
1016,18347,6,1455546370170,1455546371097,864
1016,18349,8,1455546370170,1455546371098,868
1016,18395,54,1455546370175,1455546371098,868
1016,18365,24,1455546370172,1455546371098,868
1016,18387,46,1455546370174,1455546371103,874
1016,18391,50,1455546370174,1455546371104,875
1016,18401,60,1455546370175,1455546371106,876
1016,18403,62,1455546370175,1455546371108,880
1016,18397,56,1455546370175,1455546371111,882
1016,18393,52,1455546370174,1455546371117,888
1016,18341,0,1455546370170,1455546371117,890
1016,18363,22,1455546370172,1455546371151,921
1016,18353,12,1455546370171,1455546371151,922
1016,18355,14,1455546370171,1455546371151,922
1016,18399,58,1455546370175,1455546371153,924
1016,18361,20,1455546370172,1455546371155,928
1016,18367,26,1455546370172,1455546371158,930
1016,18385,44,1455546370174,1455546371165,937
1016,18381,40,1455546370173,1455546371172,943
1016,18377,36,1455546370173,1455546371177,948
1016,18343,2,1455546370170,1455546371183,956
1016,18375,34,1455546370173,1455546371190,960
1016,18345,4,1455546370170,1455546371190,960
1016,18383,42,1455546370174,1455546371195,967
1016,18371,30,1455546370173,1455546371238,1009
1016,18357,16,1455546370171,1455546371243,1012
1016,18351,10,1455546370171,1455546371255,1027
1016,18389,48,1455546370174,1455546371259,1032
1016,18373,32,1455546370173,1455546371263,1035
1016,18359,18,1455546370171,1455546371276,1045
1016,18369,28,1455546370172,1455546371287,1060
1020,18451,38,1455546371593,1455546372247,639
1020,18419,6,1455546371590,1455546372248,639
1020,18437,24,1455546371591,1455546372248,641
1020,18453,40,1455546371593,1455546372249,640
1020,18463,50,1455546371594,1455546372249,640
1020,18461,48,1455546371594,1455546372251,641
1020,18455,42,1455546371593,1455546372256,647
1020,18459,46,1455546371593,1455546372294,685
1020,18425,12,1455546371590,1455546372296,688
1020,18457,44,1455546371593,1455546372300,691
1020,18443,30,1455546371592,1455546372301,692
1020,18473,60,1455546371595,1455546372301,693
1020,18417,4,1455546371589,1455546372301,695
1020,18435,22,1455546371591,1455546372303,694
1020,18427,14,1455546371590,1455546372306,698
1020,18471,58,1455546371595,1455546372306,699
1020,18439,26,1455546371592,1455546372310,703
1020,18467,54,1455546371594,1455546372314,704
