stage,task,task_id,start,finish,deserial,serial,run_time,jvm_gc
128,178,3,1452689811124,1452689812272,16,1,1123,8
131,179,0,1452689812380,1452689813592,16,0,1187,8
131,180,1,1452689812380,1452689813498,17,0,1090,8
131,181,2,1452689812381,1452689813500,17,0,1092,8
131,182,3,1452689812381,1452689813552,17,0,1145,8
134,183,0,1452689813626,1452689814834,17,1,1181,10
134,184,1,1452689813626,1452689814777,18,0,1124,10
134,185,2,1452689813627,1452689814758,16,0,1105,10
134,186,3,1452689813627,1452689814771,17,0,1117,10
137,187,0,1452689814873,1452689816035,17,0,1136,14
137,188,1,1452689814874,1452689816005,17,0,1103,14
137,189,2,1452689814874,1452689816006,17,0,1103,14
137,190,3,1452689814875,1452689816026,16,1,1126,14
140,191,0,1452689816073,1452689817236,17,0,1136,15
140,192,1,1452689816074,1452689817194,17,0,1092,15
140,193,2,1452689816074,1452689817228,18,0,1128,15
140,194,3,1452689816075,1452689817210,17,0,1110,15
143,195,0,1452689817273,1452689818466,18,0,1165,20
143,196,1,1452689817274,1452689818411,20,0,1107,20
143,197,2,1452689817274,1452689818414,19,0,1112,20
143,198,3,1452689817275,1452689818432,18,0,1129,20
146,199,0,1452689818501,1452689819677,17,0,1151,19
146,200,1,1452689818501,1452689819622,17,0,1093,19
146,201,2,1452689818502,1452689819657,16,0,1131,19
146,202,3,1452689818502,1452689819648,16,0,1121,19
149,203,0,1452689819711,1452689820902,17,1,1165,17
149,204,1,1452689819712,1452689820847,16,0,1109,17
149,205,2,1452689819712,1452689820855,17,0,1116,17
149,206,3,1452689819713,1452689820872,17,0,1134,17
152,207,0,1452689820935,1452689822186,18,0,1224,18
152,208,1,1452689820935,1452689822079,18,0,1116,18
152,209,2,1452689820936,1452689822081,17,0,1119,18
152,210,3,1452689820936,1452689822110,17,0,1148,18
155,211,0,1452689822216,1452689823446,17,0,1202,17
155,212,1,1452689822217,1452689823363,18,0,1117,17
155,213,2,1452689822217,1452689823364,17,0,1121,17
155,214,3,1452689822217,1452689823391,17,0,1147,17
158,215,0,1452689823482,1452689824732,19,1,1221,12
158,216,1,1452689823482,1452689824604,17,0,1094,0
158,217,2,1452689823483,1452689824608,18,0,1098,0
158,218,3,1452689823483,1452689824642,18,1,1130,0
161,219,0,1452689824765,1452689825928,16,0,1139,0
161,220,1,1452689824766,1452689825934,17,0,1143,0
161,221,2,1452689824766,1452689825892,16,0,1101,0
161,222,3,1452689824766,1452689825916,16,1,1125,0
164,223,0,1452689825966,1452689827185,15,0,1196,8
164,224,1,1452689825967,1452689827069,14,1,1079,8
164,225,2,1452689825967,1452689827092,15,1,1102,8
164,226,3,1452689825968,1452689827112,15,0,1122,8
167,227,0,1452689827215,1452689828427,16,0,1188,10
167,228,1,1452689827215,1452689828327,14,1,1088,10
167,229,2,1452689827216,1452689828343,16,0,1102,10
167,230,3,1452689827216,1452689828367,16,0,1127,10
170,231,0,1452689828456,1452689829653,15,0,1174,11
170,232,1,1452689828456,1452689829581,17,0,1098,11
170,233,2,1452689828457,1452689829580,16,0,1098,11
170,234,3,1452689828457,1452689829598,14,0,1117,11
173,235,0,1452689829682,1452689830858,13,0,1155,14
173,236,1,1452689829682,1452689830785,14,0,1079,14
173,237,2,1452689829683,1452689830821,12,0,1117,14
173,238,3,1452689829683,1452689830849,12,0,1146,14
176,239,0,1452689830887,1452689832068,13,0,1160,16
176,240,1,1452689830887,1452689832036,14,0,1125,16
176,241,2,1452689830888,1452689832045,15,0,1135,16
176,242,3,1452689830888,1452689832037,13,0,1128,16
179,243,0,1452689832098,1452689833265,14,0,1145,18
179,244,1,1452689832098,1452689833237,14,0,1117,18
179,245,2,1452689832099,1452689833218,15,0,1095,18
179,246,3,1452689832099,1452689833222,14,0,1101,18
182,247,0,1452689833294,1452689834461,15,0,1144,18
182,248,1,1452689833295,1452689834458,15,0,1140,18
182,249,2,1452689833295,1452689834414,15,0,1095,18
182,250,3,1452689833296,1452689834432,15,0,1114,18
185,251,0,1452689834490,1452689835654,17,1,1137,19
